category	name	sku	price
Sets	COMPX Keys Set		20
Keys	Cable Key Ring	PSV-MSC-001	2
Keys	Common Key Set		1
Covert Instruments	Covert Companion Turning Tool Add-on	PSV-CVI-009-002	1
Keys	Detex Set		75
Keys	Doorking Key	PSV-KYS-020-001	15
Bypass Tools	Double Door Tool	PSV-BYP-016-001	25
Misc	Drop Key	PSV-BYP-005	15
Keys	EK333	PSV-KYS-021	5
Keys	EPCO 1	PSV-KYS-002-001	10
Keys	EPCO 2	PSV-KYS-002-002	10
Keys	EPCO MFD-1	PSV-KYS-002-003	10
Keys	EX Elevator Set		50
Keys	EX511	PSV-KYS-022-001	10
Keys	EX512	PSV-KYS-022-005	10
Keys	EX513	PSV-KYS-022-002	10
Keys	EX514	PSV-KYS-022-003	10
Keys	EX515	PSV-KYS-022-004	10
Sets	Elevator Master Set		185
Sets	Enterphone Keys Set		25
Keys	Enterphone Set		35
Keys	FEO K1	PSV-KYS-023	10
Sets	Fire Alarm Panel Set		15
Sets	Ford Fleet Set		60
Keys	Forklift Key (Generic)	PSV-KYS-024	5
Misc	HF RFID Fob	PSV-RFID-002-001	2
Keys	Handcuff Keys (Metal)	PSV-KYS-003	5
Keys	Handcuff Keys (Plastic)		10
Misc	Handcuffs	PSV-MSC-002	50
Sets	Heavy Equipment Set		200
Sets	Innovation Series Set		40
Bypass Tools	Keychain Latch Slip	PSV-BYP-006	5
Keys	Kone 1	PSV-KYS-025-001	10
Keys	Kone 2	PSV-KYS-025-002	10
Keys	Kone 3	PSV-KYS-025-003	10
Keys	Kone 4	PSV-KYS-025-004	10
Keys	Kone 5	PSV-KYS-025-005	10
Sets	Kone Elevator Set		45
Keys	Kone Set		40
Misc	LF RFID Fob	PSV-RFID-002-002	2
Bypass Tools	Latch Slip Plastic Handle	PSV-BYP-015-002	10
Keys	Linear Key	PSV-KYS-020-002	10
Misc	Lishi - AM5	PSV-BYP-014-023	60
Misc	Lishi - BE2-7	PSV-BYP-014-025	60
Misc	Lishi - KW5	PSV-BYP-014-004	60
Misc	Lishi - KW5-L	PSV-BYP-014-008	60
Misc	Lishi - M1/MS2	PSV-BYP-014-024	60
Misc	Lishi - SC123/C123	PSV-BYP-014-010	60
Misc	Lishi - SC20	PSV-BYP-014-009	60
Misc	Lishi - SC4	PSV-BYP-014-002	60
Misc	Lishi - Yale 6	PSV-BYP-014-013	40
Sets	MAD Elevator Set		70
Bypass Tools	Magnetic Probe	PSV-BYP-007	10
Keys	Medeco Bump Keys (set of 4 G3)	PSV-BYP-008-000	100
Sets	Metal Box Keys		40
Keys	Mircom Key	PSV-KYS-020-003	5
Sets	Mischief Set		70
Keys	NY 1620 Key	PSV-KYS-012	5
Keys	NY 2642 Key	PSV-KYS-013	5
Keys	NY Elec 47	PSV-KYS-32	5
Keys	National Cabinet Set		1
Keys	PK625 Sentex		5
Keys	Schlage Construction Set		25
Keys	Schlage ICA (Black)	PSV-KYS-026-001	10
Keys	Schlage ICB	PSV-KYS-026-003	10
Keys	Schlage ICC	PSV-KYS-026-004	10
Misc	Screwdriver Set	PSV-MSC-003	25
Misc	Shitty Add-On		15
Bypass Tools	Silver Cross Key	PSV-BYP-004-003	5
Keys	Skyjack Key	PSV-KYS-027	5
Bypass Tools	Slim Jim	PSV-BYP-009	25
Misc	Sticker Set		5
Misc	Sticker Set		5
Bypass Tools	Thumbturn Bypass Tool	PSV-BYP-010	30
Bypass Tools	Traveler Hook	PSV-BYP-011	5
Misc	Unauthorized Personnel Patch		5
Misc	Utility Card	PSV-BYP-012	40
Keys	Warded Picks/Skeleton Keys	PSV-BYP-018	7
Keys	X4001	PSV-KYS-028-001	10
Keys	X4002	PSV-KYS-028-002	10
Keys	X4003	PSV-KYS-028-003	10
Keys	X4004	PSV-KYS-028-004	10
Keys	X4005	PSV-KYS-028-005	10
Keys	X4006	PSV-KYS-028-006	10
Keys	X4007	PSV-KYS-028-007	10
Keys	X4008	PSV-KYS-028-008	10
